,source,searching,title,price,desc,blink
1,Kobo,丹大札記,丹大札記,406,不論是九華山的大斷層、七彩湖的湛藍清茵、東郡大山下的平闊草原、卡社溪畔的醉紅楓葉，我們的身影故事，都在這裡。丹大地區以濁水溪上游的丹大東、西溪為核心，四周涵蓋了卡社、郡大、哈伊拉漏、馬太鞍及太平諸溪流,https://www.kobo.com/tw/zh/ebook/Sxcpa_fJujurkQYy_p2P4A
15,Readmoo,丹大札記,丹大札記,406,不論是九華山的大斷層、七彩湖的湛藍清茵、 東郡大山下的平闊草原、卡社溪畔的醉紅楓葉， 我們的身影故事，都在這裡。,https://readmoo.com/book/210172286000101
0,Kobo,傀儡花,傀儡花,349,童春發（東華大學原住民民族學院院長）、紀蔚然（台灣大學戲劇系教授 國家文藝獎）、吳密察（台灣大學歷史學系教授）聯合推薦《島嶼DNA》作者陳耀昌繼《福爾摩沙三族記》又一部台灣史小說力作墾丁海岸曾是喋血海,https://www.kobo.com/tw/zh/ebook/C7qxJ3AtRDSLzRL9ymjf3g
5,Readmoo,傀儡花,傀儡花,349,《島嶼DNA》作者陳耀昌繼《福爾摩沙三族記》又一部台灣史小說力作 墾丁海岸曾是喋血海岸。 美國海軍曾嘗試登陸，但被「斯卡羅族」打敗。 美國領事曾與「瑯嶠十八社總頭目」簽署國際條約。 1867年的這些史,https://readmoo.com/book/210120185000101
103,Pubu,星辰的繼承者,"
				星辰的繼承者",238,本書不提供試閱<br/>純正的科幻小說，亞瑟．克拉克得讓點位子出來了！／艾西莫夫<br/>在月球表面上居然出現了一具五萬年前的人類屍體！<br/>面對這個人類史上最詭異的謎團...,/ebook/105253
73,Google,星辰的繼承者,星辰的繼承者,178,純正的科幻小說，亞瑟．克拉克得讓點位子出來了！╱艾西莫夫在月球表面上居然出現了一具五萬年前的人類屍體！面對這個人類史上最詭異的謎團，一場前所未有的解謎行動，即將開始！這就是那具屍體。在你們開始提問之前,/store/books/details/%E8%A9%B9%E5%A7%86%E5%A3%AB_%E9%9C%8D%E6%A0%B9_James_P_Hoga_%E6%98%9F%E8%BE%B0%E7%9A%84%E7%B9%BC%E6%89%BF%E8%80%85?id=tOgzDwAAQBAJ
2,Kobo,星辰的繼承者,星辰的繼承者,238,純正的科幻小說，亞瑟．克拉克得讓點位子出來了！／艾西莫夫在月球表面上居然出現了一具五萬年前的人類屍體！面對這個人類史上最詭異的謎團，一場前所未有的解謎行動，即將開始！【故事簡介】這就是那具屍體。在你們,https://www.kobo.com/tw/zh/ebook/7lpdd0ahUjGAnKvP1gEPow
25,Readmoo,星辰的繼承者,星辰的繼承者,238,純正的科幻小說，亞瑟．克拉克得讓點位子出來了！／艾西莫夫 在月球表面上居然出現了一具五萬年前的人類屍體！ 面對這個人類史上最詭異的謎團， 一場前所未有的解謎行動，即將開始！ 我們從哪裡來，又將往何處去,https://readmoo.com/book/210074765000101
26,Readmoo,星辰的繼承者,星辰的繼承者2：甘尼米德的溫柔巨人,250,純正的科幻小說，亞瑟．克拉克得讓點位子出來了！／艾西莫夫 以為早已消失的甘尼米人， 居然跨越了兩千五百萬年的時光， 從宇宙一隅出現在地球人眼前。 這場空前絕後的會面， 會為人類歷史掀開什麼樣的全新篇章,https://readmoo.com/book/210077969000101
74,Google,星辰的繼承者,星辰的繼承者2：甘尼米德的溫柔巨人: 第 2 卷,189,※電子書無附甘尼米人設定海報純正的科幻小說，亞瑟．克拉克得讓點位子出來了！╱艾西莫夫以為早已消失的甘尼米人，居然跨越了兩千五百萬年的時光，從宇宙一隅出現在地球人眼前。這場空前絕後的會面，會為人類歷史掀,/store/books/details/%E8%A9%B9%E5%A7%86%E5%A3%AB_%E9%9C%8D%E6%A0%B9_James_P_Hoga_%E6%98%9F%E8%BE%B0%E7%9A%84%E7%B9%BC%E6%89%BF%E8%80%852_%E7%94%98%E5%B0%BC%E7%B1%B3%E5%BE%B7%E7%9A%84%E6%BA%AB%E6%9F%94%E5%B7%A8%E4%BA%BA?id=IKZCDwAAQBAJ
75,Google,星辰的繼承者,星辰的繼承者3：巨人之星（詹姆士．霍根生涯代表作「巨人三部曲」完結篇）: 第 3 卷,200,AMAZON與GoodReads讀者★★★★評價純正的科幻小說，亞瑟．克拉克得讓點位子出來了！╱艾西莫夫與未知世界的相遇，卻帶來了更多秘密。我們已經知道我們從哪裡來，那我們將往何處去？橫跨兩千五百萬年,/store/books/details/%E8%A9%B9%E5%A7%86%E5%A3%AB_%E9%9C%8D%E6%A0%B9_James_P_Hoga_%E6%98%9F%E8%BE%B0%E7%9A%84%E7%B9%BC%E6%89%BF%E8%80%853_%E5%B7%A8%E4%BA%BA%E4%B9%8B%E6%98%9F_%E8%A9%B9%E5%A7%86%E5%A3%AB_%E9%9C%8D%E6%A0%B9%E7%94%9F%E6%B6%AF%E4%BB%A3%E8%A1%A8%E4%BD%9C_%E5%B7%A8%E4%BA%BA%E4%B8%89%E9%83%A8%E6%9B%B2?id=DVxaDwAAQBAJ
93,Google,說理Ⅱ,說理Ⅱ: 後真相時代穿透分歧、建立共識的思維技術,275,"觀點愈分歧，愈需要自信表達意見、被人理解的技巧。 排除情緒，理解語言背後的動機，打開彼此能夠靠攏的路徑 ★哈佛大學跨學院必讀書單TOP10 ★全美3,000多門大學課程指定閱讀 ★《紐約時報》教育榜暢",/store/books/details/%E5%82%91%E4%BC%8A_%E6%B5%B7%E5%9B%A0%E9%87%8C%E5%B8%8C%E6%96%AF_Jay_Heinrichs_%E8%AA%AA%E7%90%86?id=3JirDwAAQBAJ
4,Kobo,說理Ⅱ,說理Ⅱ：後真相時代穿透分歧、建立共識的思維技術,385,"★哈佛大學跨學院必讀書單TOP10★全美3,000多門大學課程指定閱讀★《紐約時報》教育榜暢銷書★AMAZON分類銷售NO.1★《彭博商業週刊》《赫芬頓郵報》《衛報》《泰晤士報》等國際重要媒體熱烈報導",https://www.kobo.com/tw/zh/ebook/ii-236
45,Readmoo,說理Ⅱ,說理Ⅱ：後真相時代穿透分歧、建立共識的思維技術,385,"觀點愈分歧，愈需要自信表達意見、被人理解的技巧。 排除情緒，理解語言背後的動機，打開彼此能夠靠攏的路徑 ★哈佛大學跨學院必讀書單TOP10 ★全美3,000多門大學課程指定閱讀 ★《紐約時報》教育榜暢",https://readmoo.com/book/210100374000101
104,Pubu,鬼地方,"
				鬼地方",266,"""★ 睽違十二年，陳思宏全新長篇小說作品<br/>★ 陳思宏創作母題「永靖」復歸，刻劃時代對小人物的輾壓，一探眾人心中的廢墟<br/>永靖對我來說，是個鬼地方，<br/>我一輩子都...",/ebook/184442
43,Readmoo,鬼地方,帶煞皇妃：嫁到什麼鬼地方之一,143,傳言喬家四個子女生來皆相剋，若不生離即是死別， 十五年前么子誕生後，喬家百餘口一夕被滅門， 從此，赤落國的白鳳鎮杳無人煙，世人只知「喬家鬼鎮」…… 為求活命，喬靜從小被送離喬家，到鄰國做王爺養女， 但,https://readmoo.com/book/210111529000101
44,Readmoo,鬼地方,煞星駙馬：嫁到什麼鬼地方之三,143,舉國皆知雪晏國五公主因為無法接受喪親之痛而瘋癲， 原以為瘋婆子沒人敢娶，卻沒料到皇帝竟要將她遠嫁葉國， 拜託，她是裝瘋可沒真的瘋了，才不要被父皇當作棋子， 好在她聰明絕頂，決定買兇殺「己」！,https://readmoo.com/book/210111532000101
83,Google,鬼地方,鬼地方,190,★ 睽違十二年，陳思宏全新長篇小說作品 ★ 陳思宏創作母題「永靖」復歸，刻劃時代對小人物的輾壓，一探眾人心中的廢墟 永靖對我來說，是個鬼地方， 我一輩子都想逃離。 陳家空廢，連篇鬼話。 我們終究都活不,/store/books/details/%E9%99%B3%E6%80%9D%E5%AE%8F_%E9%AC%BC%E5%9C%B0%E6%96%B9?id=usvGDwAAQBAJ
3,Kobo,鬼地方,鬼地方,226,★ 睽違十二年，陳思宏全新長篇小說作品★ 陳思宏創作母題「永靖」復歸，刻劃時代對小人物的輾壓，一探眾人心中的廢墟永靖對我來說，是個鬼地方，我一輩子都想逃離。陳家空廢，連篇鬼話。我們終究都活不出永靖這個,https://www.kobo.com/tw/zh/ebook/auIO1xouvT2Wd0E-niT5eQ
35,Readmoo,鬼地方,鬼地方,266,永靖對我來說，是個鬼地方， 我一輩子都想逃離。,https://readmoo.com/book/210122074000101
